model_id,method,ablation,task,steering_factor,topk,accuracy
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.07,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.09,0.27631578947368424
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.1,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.5,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.07,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.09,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.1,0.1513157894736842
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.5,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.01,0.44
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.03,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.05,0.88
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.07,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.09,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.5,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.01,0.56
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.03,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.05,0.96
